"","Females_AD1_Mean","Females_control1_Mean","males_AD1_Mean","males_control1_Mean","FC_fem_ctrl_AD","FC_male_ctrl_AD"
"7A5",6.48319290089593,6.47410181292292,6.47689480879846,6.48403926943726,1.0014042238191,0.998898146611715
"A1BG",6.63044989558971,6.64679590750533,6.60183549230793,6.61862676841217,0.997540768192211,0.997463027197065
"A1CF",6.52087754929297,6.49522214960832,6.50054503178972,6.50620374295199,1.00394988794743,0.999130259151752
"A26C3",6.51268144780101,6.47751501031709,6.50770185814865,6.49664518600628,1.00542900131114,1.00170190487949
"A2BP1",7.41779528269543,7.97003905379815,7.50745558125088,8.00781079882627,0.930710029477264,0.937516603458123
"A2M",10.7193713222524,10.2314781897265,10.6259833340465,10.3765860901529,1.04768549797778,1.02403461424854
"A2ML1",6.79471893028276,6.57059986324685,6.79084572676951,6.56799644233268,1.03410937687585,1.03392956838413
"A3GALT2",6.4705531298418,6.45539560372753,6.48097209100817,6.47418615928087,1.00234803984833,1.00104815208589
"AAA1",6.52850442202373,6.53830578025285,6.52199849523696,6.55130607812143,0.99850093303089,0.995526451896004
"AAAS",6.8732753855949,6.87533558309111,6.90388632442614,6.82793921174769,0.999700349536206,1.0111229919194
"AACS",7.75273894672964,7.94608005605563,7.77135207128692,7.90669728088957,0.975668366293561,0.982882206717363
"AACSL",6.73717399836286,6.70865677729454,6.72270921712807,6.69835093285884,1.00425080936691,1.00363645985607
"AADAC",6.5038397692179,6.50581908186312,6.51596845733577,6.51761962890986,0.999695762728673,0.999746660334892
"AADACL1",8.84637124705507,9.39637773741097,8.93300520448187,9.3321189946659,0.941466115376983,0.957232243779558
"AADACL2",6.49211107056448,6.46524125205931,6.47359711221176,6.46210333134222,1.00415604266842,1.00177864393065
"AADACL3",6.46605515789962,6.46339097276539,6.46199622230968,6.4478425803335,1.00041219619012,1.00219509732129
"AADACL4",6.6815388499922,6.60678602019149,6.70523885125204,6.59001594440074,1.01131455288127,1.01748446556479
"AADAT",7.52824517005068,7.36565072161087,7.34932887651636,7.35704971856972,1.02207468892908,0.99895055187219
"AAGAB",8.79419558428868,8.97913183142393,8.70534354149356,8.96099512531214,0.979403771922801,0.97147062572365
"AAK1",7.68388672464797,7.59001881711207,7.69272034521154,7.69662221585409,1.01236728258489,0.999493041163627
"AAMP",8.23780052018945,8.14906193110624,8.18128181093537,8.15166387382939,1.01088942381754,1.00363336093887
"AARS",11.7100311000551,11.851445243357,11.7854350309715,11.909468860622,0.988067772292909,0.989585276127592
"AASDH",8.04921804799243,7.99321113744551,8.0712338741497,8.05771001911639,1.00700680985199,1.0016783745011
"AASDHPPT",8.72522308255153,9.53574621335939,9.09057625514887,9.53642433769269,0.915001604208768,0.953247877112431
"AASS",6.95268049051008,6.90546614237349,6.99165847572804,6.91583689375616,1.00683724272383,1.01096347168632
"AATF",7.94920777657087,7.62959226339043,7.76434858644333,7.68731156955248,1.04189155883389,1.0100213210033
"AATK",7.23436714785365,7.10485557065267,7.20978659744903,7.1220967811367,1.01822860097761,1.01231235954903
"ABAT",8.94158394183467,8.79075376768996,9.0052927280525,8.85845202512536,1.0171578203793,1.0165763389033
"ABCA1",10.0335176092827,9.5666956924112,9.96528068237478,9.42996739344241,1.04879656799806,1.05676724707496
"ABCA10",6.62794776194604,6.73459134357161,6.69072451276428,6.75543926026921,0.984164802853648,0.990420349438188
