"GENE_SYMBOL","Tetanis_Means","iron_healthy_Female_Mean","iron_healthy_Male_Mean","overweight_females_Pre_Means","overweight_females_Post_EGCG_Means","overweight_females_Post_EGCG_Quercentin_Means","MI_study_HealthyMale_Means","Females_no_AD_Mean","males_no_AD_Mean","FC_iron_fem","FC_iron_mal","FC_heavy_fems_no_EGCG","FC_heavy_fems_EGCG","FC_heavy_fems_EGCG_plus","FC_healthyMI_males","FC_fems_noAD","FC_mals_noAD"
"A1BG",22.5144403330474,4.81669,4.7062275,5.789,5.703,5.697,5.6532393305,6.647,6.619,4.67425562638397,4.78396769664182,3.88917608102391,3.94782401070444,3.95198180323809,3.98257335605427,3.38715816654843,3.40148667971709
"A1CF",22.9031539776075,2.54695,2.2298075,4.959,5.043,4.914,2.61667533083333,6.495,6.506,8.99238460810285,10.2713592889106,4.61850251615397,4.54157326543874,4.66079649523963,8.75276871674928,3.52627466937761,3.52031263104942
"A2M",0.278975949702815,3.998705,4.3238375,5.221,5.215,5.236,3.56828270816667,10.231,10.377,0.0697665743541509,0.0645204519602818,0.0534334322357431,0.0534949088596002,0.0532803570860991,0.0781821319998909,0.0272677108496545,0.0268840656936316
"A2ML1",21.1270650043071,3.35776,3.04829,4.443,4.516,4.483,3.01434888316667,6.571,6.568,6.29201163999424,6.93079234728555,4.75513504485867,4.67826948722477,4.71270689366653,7.0088320307875,3.21519783964497,3.21666641356685
"AAAS",24.6740220577308,5.287245,5.522265,8.117,8.109,8.128,7.043090155,6.875,6.828,4.66670677408192,4.46809815496554,3.03979574445371,3.04279467970536,3.03568184765389,3.50329493371802,3.58894866294266,3.61365290827926
"AACS",21.260371452598,5.47187,5.6738025,6.799,6.835,6.787,5.42362040566667,7.946,7.907,3.88539410705992,3.74711165088986,3.12698506436211,3.11051520886584,3.13251384302313,3.91995933756442,2.67560677732167,2.68880377546452
"AADAC",0.335330799489851,1.95415,1.76125,2.468,2.408,2.421,2.73765689683333,6.506,6.518,0.171599314018807,0.190393640590405,0.135871474671739,0.13925697653233,0.138509210859088,0.122488248939351,0.0515417767429836,0.0514468854694463
"AADACL2",0.0749620576812219,2.52371,2.4075175,2.911,2.848,2.908,3.0180952035,6.465,6.462,0.0297031186947874,0.0311366615948677,0.025751308032024,0.0263209472195302,0.0257778740306815,0.0248375391188093,0.0115950591927644,0.0116004422286013
"AADAT",0.18269229751619,2.58744,2.6173175,3.776,3.834,3.803,3.0767013405,7.366,7.357,0.0706073561188628,0.0698013510077361,0.0483824940456012,0.0476505731654122,0.0480389948767263,0.0593792758209351,0.02480210392563,0.024832444952588
"AAK1",19.5047931724454,7.315675,7.68531,9.703,9.706,9.773,8.26242399666667,7.59,7.697,2.66616452650581,2.53793186903916,2.01018171415494,2.00956039279264,1.99578360507985,2.36066234077484,2.56980147199544,2.5340773252495
"AAMP",24.5772568028578,5.042835,5.0487025,7.626,7.651,7.595,6.0756589435,8.149,8.152,4.87369838649445,4.86803427273795,3.22282412835795,3.21229339992913,3.23597851255533,4.04520020485211,3.01598439107348,3.01487448513957
"AARS",24.2042275018108,5.877285,6.2123075,8.046,8.013,8.128,7.17460837683333,11.851,11.909,4.11826676804185,3.89617344309032,3.00823110885047,3.02061993033955,2.97788232059681,3.37359563484549,2.04237849141936,2.03243156451514
"AASDH",0.278975949702815,4.867635,5.4282025,6.977,7.042,7.067,5.9806452495,7.993,8.058,0.0573124216796894,0.0513937992738508,0.0399850866708922,0.039616011034197,0.0394758666623482,0.0466464633939186,0.0349025334296028,0.0346209915243007
"AASDHPPT",18.5055748604366,4.861745,5.357605,8.08,8.188,8.085,6.81415431266667,9.536,9.536,3.8063647641817,3.45407600232503,2.29029391837086,2.26008486326778,2.28887753375839,2.71575517831127,1.94060139056592,1.94060139056592
"AASS",0.329602022772784,4.555445,4.5272475,5.767,5.759,5.856,3.8167085465,6.905,6.916,0.0723534194294485,0.0728040653339107,0.057153116485657,0.0572325095976357,0.0562844984243142,0.0863576609943234,0.0477338193733213,0.0476578980296102
"AATF",25.5192830251583,7.43104,7.6109575,9.413,9.402,9.488,8.88427514516667,7.63,7.687,3.43414690610712,3.35296617083439,2.71106799374889,2.71423984526252,2.68963775560268,2.87241025386765,3.3445980373733,3.3197974535135
"AATK",0.382206106811471,5.57102,5.20687,6.624,6.579,6.547,5.65208998583333,7.105,7.122,0.068606127210362,0.073404196150753,0.0577001972843404,0.0580948634764358,0.058378815764697,0.0676220845332347,0.0537939629572795,0.0536655583840875
"ABAT",0.0953618561228602,6.28595,6.0292375,8.324,8.294,8.4,6.00113939383333,8.791,8.858,0.0151706354843516,0.0158165698602618,0.0114562537389308,0.0114976918402291,0.0113526019193881,0.0158906250737739,0.0108476687661085,0.0107656193410319
"ABCA1",19.2873255050739,5.93959,5.401805,8.141,7.823,8.06,5.73149008016667,9.567,9.43,3.24724863249381,3.57053346151406,2.36915925624296,2.4654640809247,2.39296842494714,3.36515028994224,2.01602649786495,2.04531553606298
"ABCA10",0.286881147788162,2.35119,2.5228525,4.453,4.478,4.561,2.94334964,6.735,6.755,0.122015297695278,0.113713008504525,0.0644242415872808,0.064064570743225,0.0628987388266085,0.0974675736410852,0.0425955676003209,0.0424694519301497
"ABCA12",20.1793104521632,2.799675,2.5945475,3.733,3.705,3.724,2.62087667433333,6.453,6.463,7.2077332019478,7.77758374135112,5.40565509031964,5.44650754444351,5.41871924064533,7.69945058834033,3.12712078911564,3.1222822918402
"ABCA13",0.111031312388744,3.856965,3.6995125,5.563,5.248,5.541,4.2443271065,6.405,6.407,0.0287872232153374,0.0300124171465143,0.019958891315611,0.0211568811716357,0.0200381361466782,0.0261599329181543,0.0173350995142457,0.0173296882142569
"ABCA2",24.5236518029781,5.987535,6.16159,7.821,7.735,7.808,6.84894702566667,8.02,8.03,4.09578429236373,3.98008497854905,3.13561588070299,3.17047857827771,3.14083655263551,3.58064556654838,3.05781194550849,3.05400396052031
"ABCA3",18.0689977967383,4.8248,4.6323925,6.164,6.158,6.134,5.4270541645,9.604,9.592,3.74502524389369,3.90057573850624,2.93137537260517,2.93423153568338,2.94571206337435,3.32943015659085,1.88140335243006,1.88375706805028
"ABCA4",20.5009487927791,4.077065,3.800745,4.408,4.391,4.346,3.5825893245,6.613,6.636,5.02835956571187,5.39392903043458,4.65085045208236,4.66885647751744,4.71719944610655,5.72238315248155,3.10009810869183,3.08935334430064
"ABCA5",20.8288987322581,5.351425,6.0664675,6.998,6.991,7.134,5.71873752233333,6.998,7.013,3.89221538791221,3.43344767482197,2.97640736385511,2.97938760295495,2.91966620861481,3.64221974708844,2.97640736385511,2.970041171005
"ABCA6",0.102098187618736,2.29982,2.1263375,4.276,4.319,4.31,2.7877587655,6.72,6.751,0.0443939906682853,0.0480159841129341,0.0238770317162619,0.0236393117894735,0.0236886746215165,0.0366237527013655,0.0151931826813595,0.0151234169187877
"ABCA7",23.6322944418757,6.22347,6.216915,7.92,7.649,7.658,6.4215248685,6.679,6.664,3.79728582958955,3.80128961741888,2.98387556084289,3.0895926842562,3.08596166647632,3.68016863997537,3.53829831439971,3.54626267134989
"ABCA8",0.152724260688705,1.798745,1.8561475,3.083,3.109,3.044,2.59384649716667,7.801,7.945,0.0849060098505928,0.0822802394145425,0.0495375480663979,0.0491232745862672,0.0501722275587072,0.0588794521401052,0.0195775234827208,0.0192226885700069
"ABCA9",0.203723209892378,2.73637,2.6532075,4.121,4.051,4.074,2.7122234245,6.958,6.922,0.074450169345658,0.0767837456709956,0.0494353821626737,0.0502896099462795,0.0500056970771669,0.0751129896055428,0.0292789896367316,0.0294312640699766
"ABCB1",0.146220740851044,4.85077,5.057755,6.484,6.444,6.668,5.25570284666667,8.327,8.398,0.030143820641062,0.0289102063763556,0.022551008767897,0.0226909902003483,0.0219287253825801,0.0278213485649749,0.0175598343762513,0.0174113766195575
"ABCB10",18.9418984891476,6.0239,6.2197,8.134,7.975,8.073,6.454519488,7.957,7.891,3.14445765851817,3.04546818803923,2.32873106579144,2.37515968515957,2.34632707656975,2.93467213544923,2.38053267426764,2.40044335181189
"ABCB11",0.276992863423714,3.478945,3.2517575,3.768,3.788,3.727,2.87695236983333,6.492,6.476,0.0796197880172621,0.0851825092811238,0.0735119064287988,0.073123775983029,0.0743205965719651,0.0962799615065441,0.0426667996647742,0.0427722148585105
"ABCB4",0.22650852980868,4.08123,4.2649675,5.871,6.039,5.796,4.15804185683333,6.493,6.469,0.0555000648845274,0.0531090869528736,0.038580911226142,0.0375076220911872,0.039080146619855,0.0544748075194182,0.0348850346232373,0.035014458155616
"ABCB5",0.161350265704302,2.629055,2.708485,3.332,3.258,3.331,2.56553626816667,6.412,6.431,0.0613719628171728,0.0595721466813743,0.0484244494910871,0.0495243295593315,0.0484389870021922,0.0628914382175556,0.0251637968971151,0.0250894519832533
"ABCB6",24.7884552965234,4.0071,4.14880875,5.431,5.318,5.467,4.69900488933333,8.845,8.883,6.18613343727969,5.97483682431094,4.56425249429634,4.66123642281373,4.5341970544217,5.27525633199337,2.80253875596647,2.79054996020752
"ABCB7",25.5890683993819,5.015585,5.6667925,7.178,7.327,7.286,7.447604102,8.206,8.278,5.10191102321701,4.51561767955715,3.56493011972442,3.49243461162575,3.51208734550945,3.43587925041694,3.11833638793345,3.09121386800941
"ABCB9",25.3755725978325,3.946015,3.6909775,5.377,5.431,5.271,4.908770132,8.592,8.615,6.43068325838408,6.87502771226117,4.71928075094522,4.67235731869498,4.8141856569593,5.16943591072039,2.95339532097678,2.94551045825101
"ABCC1",25.7856683367137,7.016295,7.25481,9.035,9.052,8.906,7.373770962,6.502,6.516,3.67511177006008,3.55428582371057,2.85397546615536,2.84861559177128,2.89531420802983,3.49694457145436,3.96580565006362,3.95728488899841
"ABCC10",24.099923171034,5.864735,6.0798275,7.841,7.759,7.773,6.063429258,7.466,7.353,4.10929448151264,3.96391561619701,3.07357775424487,3.10606046797706,3.10046612260826,3.9746358282711,3.22795649223601,3.27756333075398
"ABCC11",17.6966059244884,4.02535,4.0656275,4.271,4.234,4.213,4.00541867083333,6.568,6.561,4.39628999328961,4.35273667459411,4.14343383855967,4.17964240068218,4.20047612734117,4.41816633385957,2.69436752808897,2.69724217718158
"ABCC12",0.327687364176047,2.86405,2.7493975,4.018,4.002,3.937,3.53117404466667,7.5,7.645,0.114413981660951,0.119185153902281,0.0815548442449097,0.0818809005937149,0.0832327569662299,0.0927984177588108,0.0436916485568063,0.0428629645750225
"ABCC13",0.292781749227846,4.111675,4.108625,5.457,5.186,5.481,2.589953017,6.551,6.545,0.0712074152815692,0.0712602754517256,0.0536525103954271,0.0564561799513779,0.0534175787680799,0.113045197077351,0.0446926803889247,0.044733651524499
