"","GENE_SYMBOL","GSM1443061","GSM1443062","GSM1443063","GSM1443064","GSM1443065","GSM1443066","Tetanis_Means"
"APOBEC3B","APOBEC3B",1514214,30849539,12095206,64312927,85611356,24809451,36532115.5
"ATP11B","ATP11B",0.08,0.05,0.05,164932227,124964138,24385791,52380359.3633333
"LOC100132006","LOC100132006",0.07,0.04,0.05,0.09,0.63,0.1,0.163333333333333
"DNAJA1","DNAJA1",11111852,32746297,102843201,279443840,88241686,144101205,109748013.5
"EHMT2","EHMT2",2572317,31781452,10129414,6744979,13639852,1548713,11069454.5
"RPL23","RPL23",422620565,806351922,935571579,1637187575,1607352148,1185372603,1099076065.33333
"LOC344178","LOC344178",27917680,81179981,103128237,254936438,237761919,193391957,149719368.666667
"RPS13","RPS13",162789468,355396722,401050095,614804806,1009214870,578883530,520356581.833333
"HDDC3","HDDC3",6879888,13000400,5049234,4637675,21061093,1823127,8741902.83333333
"PRNP","PRNP",0.2,0.6,0.05,0.57,0.84,0.61,0.478333333333333
"LOC150759","LOC150759",3192323,30731596,27162118,43670699,23721402,44202839,28780162.8333333
"UNQ353","UNQ353",0.03,0.04,0.05,0.09,0.08,0.47,0.126666666666667
"ITPRIPL2","ITPRIPL2",0.07,0.08,0.09,0.12,0.08,0.11,0.0916666666666667
"MEGF11","MEGF11",8037186,0.62,0.58,0.48,1031933,0.2,1511520.14666667
"APBA3","APBA3",0.03,0.04,0.05,0.09,0.08,0.1,0.065
"CRCP","CRCP",7987949,15909191,0.07,0.41,1147790,10544014,5931490.74666667
"C19orf15","C19orf15",2701967,0.34,12921859,0.27,0.55,0.1,2603971.21
"KBTBD4","KBTBD4",0.03,0.04,0.05,0.09,0.08,1377545,229590.881666667
"UNQ9368","UNQ9368",0.03,0.04,0.05,0.09,0.08,0.2,0.0816666666666667
"LRP1","LRP1",0.31,0.27,0.31,0.09,0.16,0.19,0.221666666666667
"TSC1","TSC1",0.37,0.04,0.05,0.14,0.56,0.1,0.21
"ADORA3","ADORA3",0.12,0.04,0.05,0.14,0.11,0.1,0.0933333333333333
"GOLGA3","GOLGA3",16365588,43306772,4977289,101214995,0.27,49418405,35880508.2116667
"CDH6","CDH6",0.43,0.75,0.21,0.37,32078563,0.11,5346427.47833333
"CD99L2","CD99L2",43068242,51903384,89957588,2245924,3114126,6734489,32837292.1666667
"SMG7","SMG7",69623618,3421782,29992004,404369501,1229992241,13209231,291768062.833333
"C9orf30","C9orf30",0.55,0.27,0.85,0.41,0.28,0.4,0.46
"CXorf57","CXorf57",0.03,0.04,0.05,0.08,0.08,0.11,0.065
"VASH1","VASH1",0.2,0.21,0.33,0.3,0.19,0.75,0.33
"SRF","SRF",1644323,3267948,9951096,1906903,2193742,3069827,3672306.5
"BBX","BBX",6023865,9903289,8530432,2633771,3033237,1996010,5353434
"SLC7A1","SLC7A1",3267045,5368513,4602439,4344511,0.08,7206427,4131489.18
"C3orf75","C3orf75",5182109,4350608,0.06,0.08,0.08,40192015,8287455.37
"YWHAZ","YWHAZ",17247949,132269558,70655146,177204918,342468214,150792873,148439776.333333
"MAB21L2","MAB21L2",10428250,18757540,20231164,9610477,11854586,2420998,12217169.1666667
"EPHA2","EPHA2",2488129,1859212,4989427,1440532,3172187,0.42,2324914.57
"SYT2","SYT2",17617328,24607990,28651577,66206538,45416562,3426764,30987793.1666667
"TMEM97","TMEM97",0.25,0.2,14646465,101395914,0.44,14213400,21709296.6483333
"SLC22A23","SLC22A23",4624823,3013855,4092630,2634035,5116742,1058828,3423485.5
"SET","SET",25822444,44318391,85935103,361988503,243575785,220257019,163649540.833333
"SP5","SP5",0.07,0.09,1597275,2170429,0.1,0.11,627950.728333333
"IFNG","IFNG",14953703,0.15,0.24,0.1,0.23,0.19,2492283.985
"ICA1","ICA1",0.99,3769813,0.66,0.92,0.38,0.18,628302.688333333
"SAMD9L","SAMD9L",1229969,0.04,0.06,0.24,54042979,1617827,9481795.89
"OR8D1","OR8D1",0.27,0.25,0.26,0.27,0.26,0.67,0.33
"BOK","BOK",12472815,18384133,15836114,6962044,9782320,2178112,10935923
"C6orf120","C6orf120",3742854,2689191,5281098,5995047,4943303,0.98,3775248.99666667
"NLE1","NLE1",1146815,2624262,1331262,164720644,3550484,0.31,28895577.885
